Banner Ad Name,Impressions,Datetime,Channel
Long,179,07/07/2024,linkedin
Long,416,04/07/2024,linkedin
Long,101,16/07/2024,linkedin
Short,420,19/07/2024,linkedin
Long,211,11/07/2024,linkedin
Long,437,06/07/2024,linkedin
Long,467,17/07/2024,linkedin
Short,233,10/07/2024,linkedin
Short,479,20/07/2024,linkedin
Long,212,15/07/2024,linkedin
Short,131,08/07/2024,linkedin
Long,447,14/07/2024,linkedin
Long,233,13/07/2024,linkedin
Short,275,02/07/2024,linkedin
Long,234,01/07/2024,linkedin
Short,139,05/07/2024,linkedin
Short,319,18/07/2024,linkedin
Long,393,12/07/2024,linkedin
Short,231,03/07/2024,linkedin
Long,104,09/07/2024,linkedin
Long,342,12/07/2024,twitter
Long,228,01/07/2024,twitter
Short,360,15/07/2024,twitter
Short,312,17/07/2024,twitter
Long,419,13/07/2024,twitter
Long,210,18/07/2024,twitter
Short,350,19/07/2024,twitter
Short,216,07/07/2024,twitter
Long,260,04/07/2024,twitter
Long,470,03/07/2024,twitter
Long,433,16/07/2024,twitter
Long,138,11/07/2024,twitter
Short,181,02/07/2024,twitter
Short,424,14/07/2024,twitter
Short,208,05/07/2024,twitter
Long,326,10/07/2024,twitter
Long,305,20/07/2024,twitter
Long,364,09/07/2024,twitter
Long,161,08/07/2024,twitter
Long,496,06/07/2024,twitter
