Banner Ad Name,Impressions,Datetime
Banner 2 - Long,179,07/07/2024
Banner 2 - Long,416,04/07/2024
Banner 2 - Long,101,16/07/2024
Banner 1 - Short,420,19/07/2024
Banner 2 - Long,211,11/07/2024
Banner 2 - Long,437,06/07/2024
Banner 2 - Long,467,17/07/2024
Banner 1 - Short,233,10/07/2024
Banner 1 - Short,479,20/07/2024
Banner 2 - Long,212,15/07/2024
Banner 1 - Short,131,08/07/2024
Banner 2 - Long,447,14/07/2024
Banner 2 - Long,233,13/07/2024
Banner 1 - Short,275,02/07/2024
Banner 2 - Long,234,01/07/2024
Banner 1 - Short,139,05/07/2024
Banner 1 - Short,319,18/07/2024
Banner 2 - Long,393,12/07/2024
Banner 1 - Short,231,03/07/2024
Banner 2 - Long,104,09/07/2024
