date_id,mttnsubad,raw_account_id,raw_account_name,raw_publisher_id,raw_publisher_name,raw_campaign_id,raw_campaign_name,raw_placement_id,raw_placement_name,raw_creative_id,raw_creative_name,currency_code,division,market,pillar,campaign,platform,creative,creative_format,creative_length,media_buy_type,publisher,audience_device,audience_targeting_type,audience_device_targeted,creative_product,creative_feature,creative_cta,clicks,video_starts,views_25,views_50,views_75,views_100,event_click,event_install,event_install_tvplus_subscription,event_install_tv_show_purchases,event_install_video_rentals,event_install_movie_purchases,event_install_tvplus_entitlements,event_install_tv_subscriptions,bounces,visits,potential_phone_buyer_visit,impressions,potential_mac_buyer_visit,potential_ipad_buyer_visit,potential_watch_buyer_visit,potential_homepod_buyer_visit,potential_TheBrand_tv_buyer_visit,accessories_add_to_cart_visit,cid,event_install_aristotle,event_fitness_plus_subscription_yearly,event_fitness_plus_subscription_monthly,potential_fitnessplus_try_it_free_visits,event_install_news_subscriptions,event_install_ios_app_store_inapp_purchases,event_install_music_subscriptions,event_install_ios_app_store_download,event_install_ios_app_store_redownload,event_install_tv_channel_subscription,campaign_fiscal_year,campaign_time_period,placement_channel,placement_format,placement_type,device_operating_system,audience_targeting_segment,landing_page_type,placement_tracking_type,creative_market_language,creative_dimensions,creative_offer,creative_carrier,creative_landing_page_dco,creative_copy,airpods_add_to_cart_visits,page_views,total_seconds_spent,airtags_add_to_cart_visits,spend_net_lc,spend_net_usd,app_downloads_vuze,campaign_channel,engagements,bounces_dotcom,bounces_experience,visits_dotcom,visits_experience,total_seconds_spent_dotcom,total_seconds_spent_experience,page_views_dotcom,page_views_experience,event_install_fitnessplus_entitlements,cid_creative,event_install_tvplus_amplify_subscription,event_fitness_plus_subscription,event_install_mls_subscription,mac_bf_engager,watch_bf_engager,ipad_bf_engager,phone_bf_engager
03/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332738,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,620.32,620.32,,Digital,2639,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
04/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291180,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,614.98,614.98,,Digital,2163,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
05/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279124,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,586.21,586.21,,Digital,2145,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
06/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236867,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,591.1,591.1,,Digital,1801,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
07/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249517,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,598.6,598.6,,Digital,2013,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
08/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262640,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,631.51,631.51,,Digital,2255,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
09/01/2023,2997779,380749300,The Brand -US PST,NA,NA,32103862,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_apzphModel697_twitter_cpc_display size_phone modelabc plus vs phone modelxyz_static_ios_all targeting_compare lp_att,40525630,02997779_wwa_us_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModeldeft_gnt_broa_cmplp_ftr_usen_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_phModeldef,NA,,USD,Marcom,United States,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone modelxyz Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276955,0,0,0,0,0,0,wwa-us-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModeldeft-gnt-broa-cmplp-ftr-usen-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-phModeldef-02997779,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"United States, English",1:1 AR,NA,NA,NA,phModeldef,0,,0,,613.44,613.44,,Digital,1999,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
10/01/2023,2980081,4.5036E+15,TheBrand_Marcom-Japan,NA,NA,32134435,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_twitter_displaysize_phone modelabc plus vs. phone x_rukuten,40565529,02980081_wwa_jp_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModelxst_gnt_broa_cmplp_ftr_jpjp_14plvx_static_11ar_ban_yxivs_bbdspl_na_upg_rakut_na_na,NA,,JPY,Marcom,Japan,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone X Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone XS Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041,0,0,0,0,0,0,wwa-jp-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModelxst-gnt-broa-cmplp-ftr-jpjp-14plvx-static-11ar-ban-yxivs-bbdspl-na-upg-rakut-na-na-02980081,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"Japan, Japanese",1:1 AR,NA,Rakuten,NA,NA,0,,0,,966.62,7.4241,,Digital,55,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
10/01/2023,2980086,4.5036E+15,TheBrand_Marcom-Japan,NA,NA,32134442,02967646_marcom_digital_phone_2023 phone modelabc upgraders_fy23_evergreen_twitter_displaysize_phone modelabc plus vs. phone modelxyz_rukuten_softbank,40565544,02980086_wwa_jp_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModelxrt_gnt_broa_cmplp_ftr_jpjp_14plv11_static_11ar_ban_yxivs_bbdspl_na_upg_softbk_na_na,NA,,JPY,Marcom,Japan,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone modelxyz Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone XR Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9883,0,0,0,0,0,0,wwa-jp-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModelxrt-gnt-broa-cmplp-ftr-jpjp-14plv11-static-11ar-ban-yxivs-bbdspl-na-upg-softbk-na-na-02980086,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"Japan, Japanese",1:1 AR,NA,Softbank,NA,NA,0,,0,,814.92,6.259,,Digital,77,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
10/01/2023,3007297,4.5036E+15,THE BRAND EMEA MAL 2 - NEW,NA,NA,32207469,sa2302phModel6-sa-phnupabc-eur-tw-twi-cpc-avail-static,40655886,03007297_wwa_sa_soc_phModeln_phnupabc_socl_twit_staf_infe_cpc_ios_mob_phModel8pt_gnt_broa_cmplp_ftr_saar_14plv8pl_static_11ar_ban_yxivs_bbdspl_na_upg_na_na_na,NA,,EUR,Marcom,Saudi Arabia,phone,2023 phone modelabc Upgraders,Social,phone modelabc Plus vs. phone 8 Plus Display Size,Static,Banner (Not a Video),Cost per Click,Twitter,Mobile,Broad/General Targeting,phone 8 Plus Device Targeting,phone modelabc Plus,Display / Upgrade your display to bigger and better,Upgrade Now,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8675,0,0,0,0,0,0,wwa-sa-soc-phModeln-phnupabc-socl-twit-staf-infe-cpc-ios-mob-phModel8pt-gnt-broa-cmplp-ftr-saar-14plv8pl-static-11ar-ban-yxivs-bbdspl-na-upg-na-na-na-03007297,0,0,0,0,0,0,0,0,0,0,FY23,Evergreen,Paid Social,Static,In-Feed,iOS,Broad Audience,Compare Page,NA,"Kingdom of Saudi Arabia, Arabic",1:1 AR,NA,NA,NA,NA,0,,0,,9.29,10.1261,,Digital,102,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0
